Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,Churn
No,No,9,Yes,No,No,No,No,No,No,20.4,No
No,No,27,Yes,No,DSL,Yes,No,Yes,Yes,81.7,No
No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,79.5,Yes
Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,89.15,Yes
No,No,24,Yes,No,No,No,No,No,No,20.3,No
No,No,14,Yes,Yes,Fiber optic,No,No,No,No,74.95,Yes
No,No,32,Yes,No,Fiber optic,No,Yes,No,No,74.4,Yes
No,No,11,Yes,No,No,No,No,No,No,20,No
No,No,1,Yes,Yes,No,No,No,No,No,25,No
No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,80.45,No
Yes,Yes,9,Yes,No,No,No,No,No,No,19.75,No
Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,Yes,65.65,No
No,No,29,Yes,Yes,DSL,No,No,No,No,71,No
Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,89.2,No
Yes,Yes,59,Yes,No,DSL,Yes,Yes,Yes,Yes,86.75,No
No,No,3,Yes,No,DSL,No,No,No,No,55.3,Yes
Yes,Yes,18,Yes,No,DSL,Yes,Yes,No,Yes,61.5,No
No,No,67,Yes,Yes,No,No,No,No,No,25.1,No
Yes,Yes,22,Yes,No,DSL,No,Yes,No,Yes,55.15,Yes
No,Yes,33,No,No,DSL,Yes,No,No,Yes,34.05,No
No,No,5,Yes,No,No,No,No,No,No,19.95,No
No,No,2,Yes,No,No,No,No,No,No,19.95,No
Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,89.7,No
No,Yes,9,Yes,No,No,No,No,No,No,20.4,No
Yes,Yes,67,Yes,Yes,No,No,No,No,No,26.3,No
Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,84.95,Yes
No,No,8,Yes,No,No,No,No,No,No,20.7,No
No,No,5,No,No,DSL,Yes,Yes,Yes,Yes,43.25,Yes
Yes,Yes,23,Yes,Yes,DSL,No,No,No,No,48.35,Yes
No,No,1,Yes,No,Fiber optic,No,No,No,No,79.55,Yes
Yes,No,50,Yes,No,Fiber optic,No,No,No,No,71.05,Yes
No,No,17,Yes,No,No,No,No,No,No,19.45,No
Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,110.8,No
No,No,1,Yes,Yes,Fiber optic,No,No,No,No,84.5,Yes
Yes,No,25,Yes,No,Fiber optic,No,No,No,No,69.3,No
No,No,67,No,No,DSL,Yes,No,Yes,Yes,49.35,No
No,No,32,Yes,No,No,No,No,No,No,20.35,No
Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,No,No,105.6,No
Yes,No,72,No,No,DSL,Yes,Yes,Yes,Yes,64.45,No
Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,108.6,Yes
No,Yes,1,Yes,No,DSL,No,Yes,No,No,49.9,No
No,No,46,No,No,DSL,No,Yes,No,No,30.3,Yes
No,No,2,No,No,DSL,No,No,Yes,No,30.4,Yes
No,No,1,Yes,No,DSL,No,No,No,No,45.4,Yes
Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,65.65,No
Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,103.3,No
Yes,No,32,Yes,No,Fiber optic,No,Yes,No,No,84.15,Yes
No,No,2,Yes,No,DSL,No,No,No,No,44.45,No
No,No,3,Yes,No,No,No,No,No,No,19.75,Yes
No,No,5,Yes,No,Fiber optic,No,No,No,Yes,85.4,Yes
Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,89.9,No
Yes,No,37,Yes,Yes,DSL,Yes,No,No,No,55.05,No
Yes,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,104.1,No
No,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,106.6,No
No,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,75.2,Yes
Yes,Yes,50,Yes,Yes,DSL,Yes,No,No,Yes,70.5,No
Yes,Yes,25,Yes,No,No,No,No,No,No,19.6,No
No,Yes,17,Yes,Yes,DSL,No,No,Yes,No,55.85,Yes
Yes,Yes,64,Yes,Yes,No,No,No,No,No,24.05,No
Yes,No,25,No,No,DSL,No,No,Yes,No,38.1,No
No,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,106.4,Yes
Yes,No,24,No,No,DSL,No,No,Yes,Yes,34.25,No
No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,100.05,No
No,No,21,Yes,No,Fiber optic,No,No,No,No,68.65,No
No,No,1,Yes,No,DSL,No,No,No,No,45.8,No
No,No,10,Yes,Yes,Fiber optic,No,No,No,No,75.75,No
No,No,6,Yes,No,Fiber optic,No,Yes,No,No,84.4,Yes
Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,96.4,No
No,No,10,Yes,No,No,No,No,No,No,20.55,No
No,No,6,No,No,DSL,Yes,Yes,No,Yes,50.95,No
Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,90.5,No
Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,79.4,No
No,No,52,No,No,DSL,Yes,Yes,Yes,No,58.75,No
Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,59.45,No
Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,105.7,No
No,No,6,Yes,No,DSL,Yes,Yes,No,No,56.25,Yes
Yes,No,45,Yes,No,DSL,Yes,No,Yes,No,53.3,No
No,No,2,Yes,Yes,Fiber optic,No,No,No,No,85.55,Yes
No,No,4,Yes,No,DSL,No,Yes,No,No,68.65,Yes
No,No,2,No,No,DSL,No,No,No,No,24.3,No
No,No,4,Yes,No,Fiber optic,No,No,No,No,77.85,Yes
No,No,51,Yes,Yes,DSL,Yes,No,No,Yes,59.9,No
Yes,Yes,60,Yes,Yes,No,No,No,No,No,23.95,No
No,No,9,Yes,No,No,No,No,No,No,20.15,No
No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,105.35,Yes
No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,95.65,No
No,No,8,Yes,Yes,Fiber optic,No,No,No,No,87.05,Yes
Yes,Yes,46,Yes,No,DSL,Yes,No,Yes,Yes,81,No
No,No,68,Yes,No,DSL,Yes,Yes,Yes,Yes,82.45,No
No,No,1,Yes,No,DSL,No,No,No,No,53.5,Yes
Yes,No,4,Yes,No,No,No,No,No,No,20.5,No
No,No,1,No,No,DSL,No,No,No,No,25.1,Yes
No,Yes,28,Yes,No,DSL,No,Yes,No,Yes,54.4,No
No,No,39,Yes,No,DSL,No,Yes,No,No,58.6,No
No,No,11,Yes,No,Fiber optic,No,No,Yes,No,84.8,No
Yes,No,71,No,No,DSL,No,Yes,Yes,Yes,61.4,No
No,Yes,2,Yes,No,No,No,No,No,No,20.4,No
Yes,No,30,Yes,No,Fiber optic,No,Yes,Yes,No,79.65,Yes
No,No,17,Yes,No,No,No,No,No,No,20.15,No
Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,94.45,No
No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,79.8,No
No,No,5,Yes,No,DSL,Yes,No,No,Yes,54.2,Yes
No,No,1,Yes,No,No,No,No,No,No,19.45,Yes
No,No,9,Yes,Yes,Fiber optic,No,No,No,No,74.05,No
No,No,26,Yes,No,DSL,No,No,No,Yes,49.15,No
No,No,50,Yes,No,No,No,No,No,No,19.4,No
Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,113.65,No
No,Yes,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,106,No
No,No,56,Yes,Yes,No,No,No,No,No,25.95,No
No,No,1,Yes,No,No,No,No,No,No,19.1,No
Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,103.4,Yes
Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,100.55,No
Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,95.4,No
No,No,5,Yes,No,DSL,No,No,Yes,Yes,75.15,No
No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,84.45,Yes
No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,89.15,No
Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,107.9,No
No,No,44,Yes,No,No,No,No,No,No,19.5,No
Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,85.95,Yes
Yes,No,69,Yes,Yes,No,No,No,No,No,24.95,No
No,No,16,Yes,No,DSL,No,No,No,Yes,59.4,Yes
Yes,Yes,68,Yes,No,No,No,No,No,No,19.5,No
No,No,16,Yes,No,Fiber optic,No,No,No,No,69.95,No
Yes,Yes,68,Yes,No,DSL,Yes,Yes,No,Yes,82.85,No
No,No,4,Yes,No,No,No,No,No,No,19,No
Yes,Yes,26,No,No,DSL,Yes,Yes,No,Yes,38.85,No
No,No,29,No,No,DSL,No,Yes,No,No,30.6,Yes
No,Yes,5,Yes,No,No,No,No,No,No,20.35,No
Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,95,No
Yes,No,24,Yes,No,DSL,Yes,No,No,Yes,74.4,No
Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,78.45,No
No,No,1,Yes,No,Fiber optic,No,No,No,Yes,74.3,No
Yes,No,70,No,No,DSL,No,Yes,Yes,Yes,51.05,No
Yes,Yes,36,Yes,No,No,No,No,No,No,19.2,No
No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,99.55,Yes
No,No,17,Yes,No,Fiber optic,No,No,No,No,70,Yes
Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,109.1,No
No,No,1,Yes,No,DSL,No,No,No,No,45.3,Yes
No,No,2,No,No,DSL,No,No,No,Yes,29.85,Yes
No,No,14,Yes,No,Fiber optic,No,No,Yes,No,76.45,No
No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,95.1,Yes
No,No,1,Yes,No,No,No,No,No,No,19.8,Yes
Yes,Yes,13,Yes,Yes,DSL,No,Yes,Yes,Yes,72.8,No
No,No,6,Yes,No,No,No,No,No,No,18.95,No
No,No,4,Yes,No,Fiber optic,No,Yes,No,No,76.65,Yes
Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No,Yes,99.15,Yes
Yes,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,101.75,No
No,No,47,Yes,No,Fiber optic,Yes,No,No,No,75.45,No
No,No,8,Yes,No,DSL,No,No,Yes,Yes,64.1,No
No,No,17,No,No,DSL,No,No,No,No,25.65,No
Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,75.1,No
No,No,26,Yes,No,Fiber optic,Yes,No,Yes,Yes,95.85,No
No,No,23,Yes,Yes,DSL,Yes,No,No,No,54.4,No
No,No,4,Yes,No,Fiber optic,No,Yes,No,No,72.75,No
No,Yes,29,Yes,No,No,No,No,No,No,19.85,No
No,No,25,Yes,No,No,No,No,No,No,19.05,No
No,No,9,Yes,No,DSL,No,No,No,No,44.95,Yes
Yes,No,18,Yes,No,DSL,No,No,Yes,No,49.55,Yes
No,No,3,Yes,Yes,Fiber optic,No,No,No,No,94.85,No
Yes,Yes,69,No,No,DSL,Yes,Yes,Yes,Yes,46.25,No
No,No,14,Yes,No,No,No,No,No,No,19.35,No
No,No,19,Yes,Yes,DSL,No,No,No,No,69.6,No
No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,90.7,No
No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,101.4,No
Yes,Yes,24,Yes,No,No,No,No,No,No,20.25,No
Yes,No,14,Yes,No,DSL,No,No,No,Yes,48.8,No
Yes,No,64,Yes,No,DSL,Yes,Yes,Yes,Yes,74.35,No
No,No,50,Yes,No,No,No,No,No,No,19.35,No
Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,Yes,68.75,No
No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,100.2,No
No,No,21,Yes,No,No,No,No,No,No,20.85,No
No,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,95.9,Yes
Yes,No,17,Yes,No,No,No,No,No,No,19.35,No
Yes,No,58,No,No,DSL,No,No,No,No,45,No
Yes,No,17,Yes,No,Fiber optic,No,No,No,No,81.5,Yes
Yes,No,51,Yes,Yes,No,No,No,No,No,25.5,No
Yes,Yes,72,No,No,DSL,Yes,No,Yes,Yes,48.9,No
Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No,84.1,Yes
No,No,27,Yes,No,No,No,No,No,No,19.6,No
No,No,3,Yes,No,No,No,No,No,No,20,No
Yes,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,81.3,No
Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,95.2,No
Yes,No,3,No,No,DSL,No,No,No,No,36.45,Yes
Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,83.3,No
No,No,1,No,No,DSL,No,No,No,No,25.05,Yes
Yes,Yes,58,Yes,No,No,No,No,No,No,20.3,No
Yes,Yes,34,Yes,No,Fiber optic,No,Yes,Yes,No,89.85,No
No,No,8,Yes,No,DSL,Yes,No,No,No,49.85,Yes
Yes,Yes,15,Yes,No,No,No,No,No,No,19.8,No
Yes,Yes,66,No,No,DSL,No,No,Yes,Yes,54.65,No
No,No,12,No,No,DSL,No,Yes,No,No,29.35,No
No,No,58,Yes,No,No,No,No,No,No,19.15,No
Yes,Yes,3,Yes,No,No,No,No,No,No,19.1,No
Yes,No,43,No,No,DSL,No,Yes,Yes,No,55.55,Yes
No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,80.55,No
No,No,3,Yes,No,No,No,No,No,No,20.25,No
Yes,Yes,22,Yes,No,DSL,No,Yes,No,No,69.5,Yes
Yes,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,106,No
No,No,68,Yes,Yes,No,No,No,No,No,25.5,No
Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,104.3,Yes
No,No,50,Yes,Yes,DSL,No,Yes,No,Yes,79.6,No
No,No,1,Yes,No,DSL,No,No,No,No,55.25,No
Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,88.05,No
No,Yes,40,Yes,No,No,No,No,No,No,20.4,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,117.6,No
No,No,6,Yes,No,No,No,No,No,No,20,No
No,No,5,Yes,No,No,No,No,No,No,19.65,No
Yes,No,48,Yes,Yes,DSL,No,Yes,Yes,No,70.55,No
No,No,1,Yes,Yes,Fiber optic,No,No,No,No,93.85,Yes
Yes,Yes,64,Yes,No,DSL,Yes,No,No,Yes,65.8,No
No,No,17,Yes,No,No,No,No,No,No,20.05,No
Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,80,No
Yes,Yes,41,No,No,DSL,Yes,No,Yes,No,35.4,No
No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,79.6,No
Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,80.25,No
Yes,Yes,1,Yes,No,DSL,No,No,Yes,No,50.45,Yes
No,No,2,Yes,No,No,No,No,No,No,20.45,No
No,No,68,Yes,No,Fiber optic,No,Yes,Yes,No,79.6,No
Yes,Yes,24,Yes,Yes,No,No,No,No,No,24.7,No
Yes,No,70,Yes,Yes,DSL,Yes,No,Yes,Yes,77.3,No
No,No,3,No,No,DSL,No,No,No,Yes,29.75,No
No,No,2,Yes,No,DSL,No,No,No,No,44.9,No
Yes,No,3,No,No,DSL,No,Yes,No,No,29.8,No
No,No,7,Yes,Yes,DSL,No,No,No,Yes,74.65,Yes
No,No,13,Yes,No,DSL,Yes,No,No,No,71.95,No
No,No,7,Yes,No,No,No,No,No,No,20.75,No
Yes,Yes,12,Yes,No,DSL,No,No,No,No,56.3,No
Yes,Yes,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,105.25,No
No,No,12,Yes,Yes,Fiber optic,No,No,No,No,94.2,Yes
Yes,Yes,63,Yes,No,No,No,No,No,No,19.55,No
No,No,15,Yes,No,DSL,Yes,Yes,Yes,Yes,84.45,No
Yes,Yes,36,Yes,No,DSL,Yes,Yes,No,No,53.65,No
Yes,No,4,No,No,DSL,No,No,Yes,No,29.9,No
Yes,Yes,24,Yes,No,No,No,No,No,No,19.7,No
No,No,61,No,No,DSL,Yes,Yes,Yes,Yes,43.7,No
No,No,16,Yes,Yes,DSL,No,Yes,No,No,55.3,No
Yes,Yes,65,Yes,No,No,No,No,No,No,19.85,No
Yes,Yes,26,Yes,No,No,No,No,No,No,19.65,No
No,No,16,Yes,No,DSL,No,No,No,Yes,49.45,No
Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,No,No,106.55,Yes
No,No,1,Yes,No,No,No,No,No,No,20.1,Yes
No,Yes,5,Yes,No,No,No,No,No,No,20.45,No
No,No,19,No,No,DSL,No,Yes,No,No,39.7,No
No,No,10,Yes,Yes,DSL,Yes,No,No,No,54.5,No
Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,83.8,Yes
No,No,3,Yes,No,DSL,No,No,No,No,55.15,Yes
No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,111.6,No
Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,86.65,Yes
Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,55.55,No
Yes,No,11,Yes,No,No,No,No,No,No,20.55,No
No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,106.75,Yes
Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,Yes,62.1,No
Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,104.5,No
No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,101.8,No
Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,110.6,No
Yes,Yes,61,Yes,No,DSL,Yes,Yes,Yes,Yes,84.9,No
No,No,22,Yes,No,Fiber optic,No,Yes,No,No,93.2,No
No,No,1,No,No,DSL,No,No,No,No,24.4,No
No,No,6,Yes,No,Fiber optic,No,No,No,No,70.55,No
No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,78.45,Yes
Yes,Yes,68,Yes,No,DSL,Yes,Yes,Yes,Yes,85,No
Yes,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,No,87.45,Yes
Yes,Yes,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,85.8,No
No,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,91.1,No
Yes,Yes,29,Yes,No,Fiber optic,No,No,No,No,70.75,Yes
Yes,Yes,72,Yes,No,No,No,No,No,No,20.1,No
Yes,Yes,47,Yes,No,No,No,No,No,No,20.05,No
Yes,Yes,24,Yes,Yes,DSL,Yes,No,No,No,74.8,No
No,No,65,Yes,Yes,No,No,No,No,No,24.8,No
No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,100.85,No
Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,101.35,Yes
No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,81.7,Yes
No,No,33,Yes,No,Fiber optic,No,No,No,No,68.25,Yes
No,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,105.1,No
Yes,No,14,Yes,No,No,No,No,No,No,20.4,No
No,No,4,Yes,No,Fiber optic,No,No,No,No,79.15,Yes
Yes,Yes,13,Yes,No,No,No,No,No,No,20,No
Yes,Yes,65,Yes,Yes,DSL,No,Yes,No,Yes,79.4,No
Yes,Yes,23,Yes,No,DSL,Yes,No,No,Yes,57.2,No
Yes,No,55,Yes,No,DSL,Yes,Yes,Yes,No,58.6,No
Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,94.8,No
Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,102.5,No
Yes,Yes,69,Yes,No,No,No,No,No,No,20.35,No
No,No,40,Yes,Yes,Fiber optic,No,No,No,No,84.9,No
Yes,No,67,Yes,No,DSL,Yes,Yes,No,Yes,69.2,No
No,No,35,Yes,Yes,Fiber optic,No,No,No,No,95.45,Yes
Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,Yes,100.95,Yes
Yes,Yes,13,Yes,No,No,No,No,No,No,20.85,No
No,Yes,41,Yes,Yes,Fiber optic,No,Yes,No,No,88.5,No
No,No,4,No,No,DSL,Yes,No,Yes,No,35,No
Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,55.15,No
No,No,5,No,No,DSL,No,Yes,No,No,50.95,No
No,No,5,Yes,Yes,DSL,No,Yes,No,No,64,No
Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,69.1,Yes
Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,80.2,No
No,No,24,Yes,No,DSL,No,No,Yes,No,49.3,No
Yes,No,42,Yes,Yes,DSL,Yes,No,Yes,Yes,84.35,No
No,No,4,Yes,No,No,No,No,No,No,20.05,No
No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,117.2,No
Yes,Yes,33,Yes,No,No,No,No,No,No,20.1,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,69.6,Yes
No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,103.45,Yes
No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,77.95,Yes
Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,109.95,No
No,No,38,Yes,Yes,Fiber optic,No,No,No,No,94.75,No
Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,80,No
Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,79.65,No
Yes,No,15,Yes,Yes,No,No,No,No,No,25.2,No
No,No,25,Yes,No,No,No,No,No,No,19.9,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,78.45,Yes
No,No,48,No,No,DSL,Yes,Yes,No,No,44.8,No
No,No,1,Yes,No,No,No,No,No,No,20.3,No
No,No,1,Yes,No,No,No,No,No,No,19.2,No
No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,80.05,No
Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,107.35,No
Yes,No,26,No,No,DSL,Yes,Yes,Yes,No,47.85,No
Yes,No,63,Yes,No,DSL,Yes,Yes,No,Yes,70.8,No
No,No,10,No,No,DSL,No,No,Yes,No,29.5,Yes
No,No,2,Yes,No,DSL,Yes,No,No,No,70.75,Yes
Yes,No,18,Yes,No,DSL,Yes,No,No,No,59.1,No
Yes,No,64,Yes,Yes,No,No,No,No,No,25.55,No
No,No,9,Yes,Yes,Fiber optic,No,No,No,No,84.45,Yes
No,Yes,28,Yes,No,No,No,No,No,No,20.25,No
No,No,1,Yes,No,Fiber optic,No,No,Yes,No,75.55,No
No,No,4,Yes,Yes,Fiber optic,No,No,No,No,85.65,Yes
No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,70.15,Yes
Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,95.3,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,70.25,No
Yes,No,18,Yes,No,DSL,No,No,No,Yes,50.3,No
No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,97.8,Yes
Yes,Yes,0,Yes,No,No,No,No,No,No,19.85,No
No,No,1,Yes,No,DSL,No,No,No,No,46.3,Yes
No,Yes,12,Yes,No,No,No,No,No,No,19.35,No
No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,106.3,Yes
No,No,12,Yes,Yes,No,No,No,No,No,25,No
Yes,Yes,55,Yes,No,No,No,No,No,No,20.3,No
No,No,7,Yes,Yes,Fiber optic,No,No,No,No,75.35,No
No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,89.4,Yes
Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,88,No
No,No,5,Yes,Yes,Fiber optic,No,No,No,No,83.15,Yes
No,No,49,Yes,No,DSL,No,No,No,No,43.8,No
No,No,40,No,No,DSL,Yes,Yes,Yes,No,62.05,No
No,No,16,Yes,No,No,No,No,No,No,20.1,No
No,No,10,Yes,Yes,Fiber optic,No,No,No,No,74.15,Yes
Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,101.35,No
No,No,2,Yes,Yes,Fiber optic,No,No,No,No,84.05,No
Yes,Yes,23,Yes,No,No,No,No,No,No,20.9,No
No,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,105.9,No
Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,99.5,Yes
No,No,1,Yes,No,DSL,No,No,No,No,44.15,Yes
No,No,16,Yes,No,DSL,No,Yes,No,Yes,53.9,Yes
No,No,1,Yes,Yes,Fiber optic,No,No,No,No,85.45,Yes
Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,85.05,No
No,No,54,No,No,DSL,Yes,No,No,Yes,44.1,No
Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,90.2,No
Yes,Yes,4,Yes,Yes,DSL,No,No,No,No,50.85,Yes
No,Yes,1,Yes,No,DSL,No,No,Yes,No,59.2,Yes
No,No,27,Yes,No,DSL,Yes,No,No,Yes,53.45,No
No,No,21,Yes,No,No,No,No,No,No,19.95,No
No,No,13,Yes,No,Fiber optic,No,No,Yes,No,83.2,Yes
No,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,74.65,No
No,No,1,Yes,No,DSL,Yes,Yes,No,No,54.9,Yes
Yes,No,57,No,No,DSL,No,Yes,Yes,Yes,57.5,No
Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,103.9,Yes
No,No,19,Yes,No,No,No,No,No,No,19.65,No
Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No,93.8,No
No,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,89.25,No
No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,94.15,No
No,No,11,Yes,Yes,DSL,Yes,No,No,No,55.6,No
Yes,Yes,53,No,No,DSL,Yes,Yes,Yes,No,48.7,No
Yes,Yes,11,Yes,No,No,No,No,No,No,19.25,Yes
No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,104.9,No
No,No,2,Yes,Yes,Fiber optic,No,No,No,No,75.45,Yes
No,No,2,Yes,No,DSL,Yes,Yes,No,No,54.85,Yes
Yes,Yes,71,Yes,No,No,No,No,No,No,19.9,No
Yes,Yes,1,Yes,No,No,No,No,No,No,19.4,No
Yes,No,68,Yes,Yes,No,No,No,No,No,25.05,No
Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,84.45,No
No,No,2,Yes,No,No,No,No,No,No,19.3,No
Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,95.1,Yes
No,No,41,Yes,No,DSL,Yes,No,Yes,Yes,79.85,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No,25.55,No
Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,75.5,Yes
Yes,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,73.75,Yes
No,No,12,Yes,Yes,Fiber optic,No,No,No,No,96.05,Yes
Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,68.4,No
No,No,7,Yes,No,No,No,No,No,No,20.65,No
Yes,No,65,Yes,No,DSL,Yes,No,Yes,No,55.15,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,70.6,No
Yes,No,56,Yes,No,No,No,No,No,No,19.95,No
No,No,4,Yes,No,No,No,No,No,No,19,No
Yes,Yes,58,Yes,No,DSL,No,No,No,No,44.1,No
Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,Yes,107.6,No
